입국자국가,국가코드,입국날짜,입국자수
일  본,130,201901,206526
일  본,130,201902,213200
일  본,130,201903,375119
일  본,130,201904,290092
일  본,130,201905,286273
일  본,130,201906,282476
일  본,130,201907,274830
일  본,130,201908,329652
일  본,130,201909,251119
일  본,130,201910,248541
일  본,130,201911,258522
일  본,130,201912,255356
일  본,130,202001,203969
일  본,130,202002,211199
일  본,130,202003,8347
일  본,130,202004,360
일  본,130,202005,413
일  본,130,202006,498
일  본,130,202007,755
일  본,130,202008,1275
일  본,130,202009,794
일  본,130,202010,927
일  본,130,202011,1254
일  본,130,202012,951
일  본,130,202101,1299
일  본,130,202102,1719
일  본,130,202103,949
일  본,130,202104,872
일  본,130,202105,1403
일  본,130,202106,875
일  본,130,202107,881
일  본,130,202108,2258
일  본,130,202109,1142
일  본,130,202110,1237
일  본,130,202111,1623
일  본,130,202112,1007
